3186,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3186.png,459,215,144,351
2660,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img2660.png,373,255,310,257
3559,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3559.png,354,230,150,239
3763,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3763.png,356,260,261,243
3659,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3659.png,410,171,316,334
4242,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img4242.png,-1,-1,156,18
2756,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img2756.png,574,260,187,243
3320,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3320.png,382,248,136,250
3946,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3946.png,367,304,301,178
4444,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img4444.png,459,304,273,252
3252,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3252.png,426,284,191,226
2776,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img2776.png,519,258,201,244
3236,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3236.png,426,246,224,241
3947,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3947.png,371,293,303,185
4388,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img4388.png,237,282,215,316
4022,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img4022.png,452,190,295,263
3968,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img3968.png,464,242,188,352
2657,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img2657.png,373,254,308,255
2712,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Left/img2712.png,412,257,337,245
