945,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img945.png,-1,-1,225,284
1204,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1204.png,482,291,395,287
555,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img555.png,542,150,276,361
1880,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1880.png,377,129,256,165
1337,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1337.png,480,360,232,268
1224,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1224.png,423,271,330,274
614,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img614.png,493,323,267,240
1165,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1165.png,480,256,384,258
1992,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1992.png,424,323,281,228
999,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img999.png,515,264,406,222
1598,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1598.png,-1,-1,248,374
1190,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1190.png,411,248,204,257
680,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img680.png,456,334,232,210
1023,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1023.png,557,287,310,300
713,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img713.png,537,305,162,315
1379,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1379.png,531,263,296,316
1155,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1155.png,394,237,333,237
311,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img311.png,425,276,367,264
308,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img308.png,423,274,365,263
1655,/home/cares/catkin_ws/src/daVinci-AR/tools/../../../tools/ds28/Right/img1655.png,-1,-1,382,278
